ID;Question;AnswerOne;AnswerTwo;AnswerThree;AnswerFour;Correct;Argument
1;Which statement is correct regarding EMER EXIT LIGHTS switch position?;"The OFF position prevents emergency light system
operation if the aeroplane electrical power fails or is turned off";The ARMED position illuminates all emergency lights if AC bus n°1 fails;The ON position illuminates only the emergency lights in the galleys;The ON position illuminates only the flight deck emergenc lights;1;Aeroplane General
2;The Oxygen Mask Release Lever when squeezed and pulled:;Lock the mask in their stowage boxes;"Activate the oxygen and microphone when the stowage
box door opens";Inflate the mask harness when the left lever is squeezed;"Activate oxygen flow momentary only the flight deck
emergency lights";2;Aeroplane General
3;Serving of the water system is?;"From an exterior panel located on the aft bottom right side
of the aft fuselage";Requires DC power;Gravity fed from an external sources;"From an exterior panel located on the aft side of the
aeroplane";1;Aeroplane General
4;On the flight deck, where is the flight crew oxygen pressure displayed?;At the oxygen cylinder;At the flight crew oxygen shutoff valve;"On the flight crew oxygen pressure indicator on the aft
overhead panel";Behind the Captain seat on the P18 panel;3;Aeroplane General
5;At what cabin altitude is the passenger oxygen system automatically activated ?;10000ft;12500ft;14000ft;17000ft;3;Aeroplane General
6;The PASS OXY ON light illuminates. What does this indicate?;The passenger oxygen system pressure is low;The passenger oxygen quality is low;"The passenger oxygen system is activated and masks
have dropped";"The OVERHEAD annunciator lights is extinguished on the
Master Caution system";3;Aeroplane General
7;Interior emergency exit lights are located:;In the lower inboard corner of the stowage bins;"Over the entry/service doors and overwing emergency
hatches";In the ceiling;All the answers are correct;4;Aeroplane General
8;What happens with the NO SMOKING switch in AUTO?;"The NO SMOKING signs illuminates when the landing
gear is extended";"The NO SMOKING signs illuminates when the flaps are
extended";"The NO SMOKING signs extinguish when the flaps are
retracted";"The NO SMOKING signs illuminated when the landing
gear are retracted";1;Aeroplane General
9;The EMERGENCY EXIT lights switch in the ARMED position:;Activates the emergency lights system with APU generator power only;Illuminates all the emergency lights all the time;"Illuminates all interior and exterior emergency lights if
there is a loss of electrical power on DC bus N°.1, or if AC power has been turned off";Can be reset by going from ON to ARMED;3;Aeroplane General
10;Lower cargo compartments are:;Designed and constructed to satisfy JAA category Class A compartment requirements;Designed to completely confine a fire without endangering the safety of the aeroplane or its occupants;On the lower aeroplane side of the fuselage;All the answers are correct;2;Aeroplane General
11;"During pilot seat adjustment, a sight reference indicating proper adjustment
includes:";"The ""T"" below the outboard display unit is visible";"Sight along the upper surface of the glareshield with a
small amount of the aeroplane nose structure visible";An unobstructed view of the CDS display;All the answers are correct;4;Aeroplane General
12;"With the FASTEN BELTS switch in the AUTO position, the FASTEN BELTS and
RETURN TO SEAT signs will:";Only be illuminated in flight;Be illuminated when the flaps or gear are extended;Be extinguished when the flaps or gear are retracted;"Be illuminated when the flaps or gear are extended or
retracted";2;Aeroplane General
13;The retractable landing lights are located?;On each wingtip;In the each leading edge;In the each wing root;In the lower fuselage;4;Aeroplane General
14;An illuminated overwing exit annunciation on the overhead panel indicates:;An overwing escape exit is not armed;An related flight exit is not closed and locked;A related flight lock failed to engage when commanded locked;"A related overwing exit is not closed an locked and a related flight lock failed to engage when commanded
locked";4;Aeroplane General
15;The overwing emergency exits lock when:;The aeroplane air/ground logic indicates that the aeroplane is in the air or both thrust levers are advanced;Either engine is running;Three of the four entry/service doors are closed;All the above conditions exist;4;Aeroplane General
16;"The cargo compartments on the 737-800 are fire containment compartments
designed as:";Class A;Class B;Class C;Class D;3;Aeroplane General
17;"A Cabin Attendant reports that there is a paper fire in the cabin. Which type of
fire extinguisher be used on the fire ?";Water ( H2O );Nitrous Oxide ( NO2 );Carbon dioxide ( CO2 );BCF (Halon 1211);1;Aeroplane General
18;"The flight crew oxygen mask EMERGENCY /Test selector when rotated to the
EMERGENCY position:";"Supplies 100% oxygen under positive pressure at all cabin
altitudes";Test the positive pressure supply to the regulator;Provides a mixture of ambient air with oxygen on demand;Supplies 100% oxygen only at high altitudes;1;Aeroplane General
19;"Emergency access to the flight deck from outside the aeroplane is
accomplished:";Through the Captain number two window only;Through the First Officer number two window only;Through the Captain or First Officer number two window;Through a special emergency hatch;2;Aeroplane General
20;The Overboard Exhaust Valve (OEV):;Allows for increased ventilation in the smoke removal configuration;"In-flight the overboard exhaust valve is normally open and
exhaust air is diffused to the lining of the forward cargo compartments";The overboard exhaust valve remains closed if both pack switches are in high;All the answers are correct;1;Air system
21;"What is the position of the isolation valve when the ISOLATION VALVE switch
is in AUTO?";That depends on the position of the APU bleed switch;The isolation valve is always closed;"The isolation valve automatically modulates between open
and closed, depending on pneumatic load";"Open if either engine BLEED air or air conditioning PACK
switch positioned OFF";4;Air system
22;"When making a no engine bleed take off and an engine failure occurs, when will
the BLEED air switch be positioned ON?";Prior to 400ft above the ground;After reaching through 2000ft above the ground;"When reaching 1500ft or until obstacle clearance height
has been attained";"At not less than 400ft and prior 200ft above the field
elevation";3;Air system
23;The maximum cabin differential pressure (relief valve) is:;7.8 psi;7.1 psi;8.3 psi;9.1 psi;4;Air system
24;"The Cabin Pressurization Panel MANUAL green light is illuminated, what does
this indicate ?";The manual outflow valve is full open;The aeroplane is an off-scheduled descent;"The pressurization system is operating in the manual
mode";The manual outflow valve is full closed;3;Air system
25;The Bleed Air DUCT PRESSURE Indicator:;Cannot indicate external air pressure;"Indicates both temperature and pressure in the bleed air
duct";Is AC operated;Is DC operated;3;Air system
26;The blue RAM DOOR FULL OPEN light illuminates:;"When the aeroplane is in flight with the landing gear
extended";When the aeroplane is in flight with the packs in HIGH;When the aeroplane is not with the packs in AUTO;When the ram door is in full open position;4;Air system
27;The amber OFF SCHED DESCENT light illuminates. What does this indicate?;"The pressurization controller is unable to maintain cabin
pressure";"The aeroplane has descended before reaching the
planned cruise altitude set in the FLT ALT indicator";"The pressurization controller has failed and will
automatically shift to the ALTN mode";All the answers are correct;2;Air system
28;What is the main source of conditioned air for the flight deck?;The right air conditioning pack;The left air conditioning pack;Both air conditioning packs;"Excess air from the left pack that is upstream of the mix
manifold";4;Air system
29;The amber DUAL BLEED light indicates:;"A possible back pressure condition and thrust must be
limited to IDLE";The isolation valve is open;Overpressure of the left and right bleed air systems;"The APU bleed air switch is ON and Both bleed air
switches are ON";1;Air system
30;What system rely on bleed air system for operation?;Air conditioning/pressurization, Wing Anti-Ice, Fuel tanks;Wing Anti-Ice, APU, engine starting;APU, engine starting, Air conditioning/pressurization;"Engine starting, Air conditioning/pressurization, Wing and Engine Anti-Ice, hydraulic reservoirs and water tank
pressurization";4;Air system
31;What happen when the Wing-Body Overheat TEST switch is pressed?;"Both of the amber WING-BODY OVERHEAT lights
illuminate";Both of the amber PACK TRIP OFF lights illuminate;Both of the amber BLEED TRIP OFF lights illuminate;All the answers are correct;1;Air system
32;"With the engine bleed air switch ON, how are the engine bleed air valves
powered?";They are AC activated and pressure operated;They are DC activated and pressure operated;They are pressure activated and AC operated;They are pressure activated and DC operated;2;Air system
33;What causes the PACK light to illuminate?;Failure of either primary or standby pack control;Temperature upstream of the pack has exceeded limits;Failure of both primary and standby pack controls;Excessive air pressure in the pack;3;Air system
34;Which fault indications can be reset with the TRIP RESET switch?;BLEED TRIP OFF;PACK;ZONE TEMP;All the answers are correct;4;Air system
35;"In the PACK non-normal procedure, the Flight Crew selects a warmer
temperature in order to:";Reduce cabin outflow;Reduce the workload on the other pack;Reduce the workload on the affected pack;Reduce the air flow through the mix valve;3;Air system
36;The recirculation fan system:;Are driven by DC motor;Increase airflow at greater cabin differential pressure;"Reduces the air conditioning system pack load and the
engine bleed air demand";Provides overheat detection downstream of the pack;3;Air system
37;A PACK light illuminated will cause:;The pack valve to close;The air mix valve drive to full hot;An automatically shutdown of the pack;A BLEED TRIP OFF condition;1;Air system
38;"Illumination of the amber AUTO FAIL light indicates any of the following has
occurred:";Loss of both AC and DC power;The backup control has failed;Pressurization mode selector is in the manual mode;Loss of DC power;4;Air system
39;"The BLEED TRIP OFF light indicates excessive engine bleed air pressure or
temperature.";True;False;;;1;Air system
40;The amber DUAL BLEED light indicates a possible APU back pressure.;True;False;;;1;Air system
41;A ZONE TEMP amber light indicates on the Master Caution Recall:;Automatic shutdown of the pack;"Failure of both the primary and secondary standby
temperature control";Trim air modulating calve has failed;"Failure of the flight deck primary or standby temperature
control";4;Air system
